synthetic_promoter	Rho_basal_wt	Rho_basal_crxnull	hsp68_basal_wt	NRL_motif	CRX_affinity_score
basal_only	0.109010529	0.02826388	0.021857402	0	0
c	0.559031087	0.430122129	0.02361364	0	0.9998766
C	0.570656982	0.403284654	0.094921744	0	0.9998766
n	0.556231104	0.259192182	0.011144068	1	0
N	0.56610396	0.191592306	0.031880715	1	0
r	0.056305082	0.02772577	0.005780551	0	0.9834506
R	0.304677244	0.178392926	0.018395707	0	0.9834506
x	0.201201891	0.07996221	0.01841972	0	0.07495701
X	0.508807463	0.358071246	0.010679601	0	0.07495701
cc	0.485923836	1.47953138	0.274880055	0	1.9997532
cC	0.783183435	1.072848182	0.175057459	0	1.9997532
Cc	0.71360422	1.559489251	0.243132805	0	1.9997532
CC	0.520750379	1.200849286	0.399291453	0	1.9997532
cn	2.24417764	1.406209453	0.094854613	1	0.9998766
cN	1.957457418	1.150789136	0.116060746	1	0.9998766
Cn	2.186210831	1.461819823	0.068311893	1	0.9998766
CN	2.626150036	1.740058043	0.111688265	1	0.9998766
cr	0.399080294	0.979485442	0.061985978	0	1.9833272
cR	0.39310107	0.645879194	0.017079393	0	1.9833272
Cr	0.296716812	0.645515773	0.062297899	0	1.9833272
CR	0.386023296	1.009821395	0.10931381	0	1.9833272
cx	0.526578864	0.506856423	0.020919119	0	1.07483361
cX	0.331544441	0.2609321	0.009244996	0	1.07483361
Cx	0.337929817	0.297063747	0.029771831	0	1.07483361
CX	0.6228893	0.608686309	0.02129891	0	1.07483361
nc	2.324386636	1.640985689	0.159414028	1	0.9998766
nC	1.657796878	0.986896607	0.092005953	1	0.9998766
Nc	2.438452604	1.50712699	0.044482134	1	0.9998766
NC	1.689558851	1.19244836	0.096124354	1	0.9998766
nn	0.815797487	0.255057294	0.085157024	2	0
nN	0.615465392	0.256635657	0.039835218	2	0
Nn	0.416950903	0.109399179	0.013200843	2	0
NN	0.968128372	0.327565122	0.032676799	2	0
nr	0.625782596	0.262653142	0.067870925	1	0.9834506
nR	0.701507215	0.368201425	0.017114129	1	0.9834506
Nr	0.316017023	0.131274428	0.011603901	1	0.9834506
NR	0.812190752	0.422864506	0.012614323	1	0.9834506
nx	0.33680993	0.133766309	0.013110257	1	0.07495701
nX	0.640198887	0.312815764	0.014622431	1	0.07495701
Nx	0.213038632	0.067896267	0.019026993	1	0.07495701
NX	0.858549415	0.360384493	0.050974348	1	0.07495701
rc	0.25659534	0.955968027	0.041712324	0	1.9833272
rC	0.194130961	0.317516145	0.017843518	0	1.9833272
Rc	0.403139891	0.835033625	0.027521834	0	1.9833272
RC	0.598827885	1.010722729	0.221661506	0	1.9833272
rn	0.416515377	0.201874606	0.03765407	1	0.9834506
rN	0.257503377	0.123724803	0.015786175	1	0.9834506
Rn	0.491124164	0.203282854	0.015371857	1	0.9834506
RN	0.980144257	0.458062468	0.018302727	1	0.9834506
rr	0.121750106	0.176784341	0.008944308	0	1.9669012
rR	0.011505977	0.010287219	0.006148274	0	1.9669012
Rr	0.201690626	0.409219158	0.049255876	0	1.9669012
RR	0.307075471	0.484062843	0.031065416	0	1.9669012
rx	0.10457968	0.075361754	0.006923459	0	1.05840761
rX	0.065898555	0.048937322	0.008960313	0	1.05840761
Rx	0.245154608	0.21314456	0.03108971	0	1.05840761
RX	0.280897346	0.259522783	0.041987582	0	1.05840761
xc	0.634066654	0.653569795	0.028390806	0	1.07483361
xC	0.494386173	0.404904072	0.052050306	0	1.07483361
Xc	0.821036473	0.866738953	0.01426862	0	1.07483361
XC	1.137701155	1.113335934	0.141387845	0	1.07483361
xn	0.941346305	0.46955959	0.049984543	1	0.07495701
xN	0.787191234	0.371783957	0.02095716	1	0.07495701
Xn	0.47934979	0.169276008	0.021258115	1	0.07495701
XN	0.765861037	0.322212277	0.026453217	1	0.07495701
xr	0.194350187	0.213169748	0.015844515	0	1.05840761
xR	0.167096725	0.127652289	0.012354743	0	1.05840761
Xr	0.337227429	0.359894478	0.037612252	0	1.05840761
XR	0.309180717	0.230745422	0.058335866	0	1.05840761
xx	0.308393067	0.234624714	0.043605065	0	0.14991402
xX	0.23279702	0.120262276	0.126116469	0	0.14991402
Xx	0.274340549	0.174941641	0.021546874	0	0.14991402
XX	0.624469015	0.507960577	0.014421269	0	0.14991402
ccc	0.102794312	1.782966304	1.899748062	0	2.9996298
ccC	0.227686659	1.640838474	1.697874385	0	2.9996298
cCc	0.267943018	2.086757826	1.436810077	0	2.9996298
cCC	0.211072042	1.619952383	1.470767959	0	2.9996298
Ccc	0.15362086	1.830854328	2.410079205	0	2.9996298
CcC	0.342785374	1.690082679	1.83481737	0	2.9996298
CCc	0.174071987	1.671927796	2.769245247	0	2.9996298
CCC	0.106287671	1.251950158	2.507980149	0	2.9996298
ccn	3.222702753	2.538507638	2.619735893	1	1.9997532
ccN	2.762938855	2.127488064	3.083146713	1	1.9997532
cCn	2.996307755	2.370210568	1.687361392	1	1.9997532
cCN	3.425945535	2.843997597	3.107816543	1	1.9997532
Ccn	3.46973679	2.662531724	2.583550651	1	1.9997532
CcN	3.687902101	2.701901659	3.636801697	1	1.9997532
CCn	3.615006706	2.84513928	3.31984471	1	1.9997532
CCN	3.325794888	2.861626449	5.394363659	1	1.9997532
ccr	0.117302201	1.695127355	1.316972038	0	2.9832038
ccR	0.205820917	1.701803677	1.095194383	0	2.9832038
cCr	0.182913301	1.452200815	0.467514269	0	2.9832038
cCR	0.181092959	1.599997675	1.151842873	0	2.9832038
Ccr	0.154239094	1.678399725	1.152968098	0	2.9832038
CcR	0.324993903	1.882886599	1.181067569	0	2.9832038
CCr	0.11460573	1.335673237	0.510199187	0	2.9832038
CCR	0.09379873	1.549029589	2.521414513	0	2.9832038
ccx	0.398783229	1.683337261	0.540085784	0	2.07471021
ccX	0.366062385	1.245328169	0.22140037	0	2.07471021
cCx	0.388966392	1.109258866	0.227860516	0	2.07471021
cCX	0.968187698	1.798833351	0.276997573	0	2.07471021
Ccx	0.702556493	2.078362684	0.369222984	0	2.07471021
CcX	0.445971368	1.070194758	0.173647017	0	2.07471021
CCx	0.261712452	0.95429933	0.387515214	0	2.07471021
CCX	0.401528573	1.66501769	0.631530867	0	2.07471021
cnc	2.500537968	1.984114725	1.3134925	1	1.9997532
cnC	2.488240379	1.759828788	1.255975316	1	1.9997532
cNc	2.477736224	1.972490041	0.889139099	1	1.9997532
cNC	2.617593804	1.815259646	1.120250984	1	1.9997532
Cnc	3.168623662	2.67660408	1.562137748	1	1.9997532
CnC	3.025820026	2.057950874	1.759401654	1	1.9997532
CNc	2.881592241	2.50012711	2.058093906	1	1.9997532
CNC	3.161023085	2.381124803	2.553626849	1	1.9997532
cnn	1.574449253	0.651104894	0.145365169	2	0.9998766
cnN	1.389331738	0.459629623	0.182726863	2	0.9998766
cNn	1.061693328	0.402705701	0.146101051	2	0.9998766
cNN	1.595099536	0.660456099	0.159625459	2	0.9998766
Cnn	1.614579103	0.638340162	0.128576954	2	0.9998766
CnN	1.523211078	0.525417083	0.177995274	2	0.9998766
CNn	1.434314301	0.558420322	0.11540177	2	0.9998766
CNN	1.889676524	0.81582581	0.28109219	2	0.9998766
cnr	1.738333273	1.122547484	0.053244554	1	1.9833272
cnR	1.754610578	1.192942764	0.09757328	1	1.9833272
cNr	1.536128455	1.032448379	0.056582519	1	1.9833272
cNR	1.635183226	1.188260684	0.110680077	1	1.9833272
Cnr	1.859457696	1.104187886	0.078706244	1	1.9833272
CnR	1.984400278	1.303271255	0.314881058	1	1.9833272
CNr	2.240128705	1.573228081	0.126820586	1	1.9833272
CNR	2.815665167	2.031734742	0.559054109	1	1.9833272
cnx	1.461993959	0.777104009	0.038021125	1	1.07483361
cnX	2.049826064	1.19256471	0.165239968	1	1.07483361
cNx	0.932439314	0.413228491	0.038296079	1	1.07483361
cNX	2.130881363	1.182930814	0.137717114	1	1.07483361
Cnx	1.521429697	0.79789625	0.062748747	1	1.07483361
CnX	2.177785649	1.224412154	0.129428254	1	1.07483361
CNx	1.371136546	0.842722866	0.051445162	1	1.07483361
CNX	2.331414864	1.52565962	0.174960163	1	1.07483361
crc	0.098728334	1.46839739	1.643135337	0	2.9832038
crC	0.275630077	1.593136669	1.192755032	0	2.9832038
cRc	0.155667186	1.287482951	0.093234686	0	2.9832038
cRC	0.245393409	1.529867942	1.080162725	0	2.9832038
Crc	0.078441844	1.231047165	0.427161585	0	2.9832038
CrC	0.239223937	1.21412926	0.359143412	0	2.9832038
CRc	0.100543197	1.380825249	0.295811113	0	2.9832038
CRC	0.206464953	1.610612221	1.998724646	0	2.9832038
crn	2.30739758	1.789077226	0.902290145	1	1.9833272
crN	2.87969932	1.997787753	1.17419654	1	1.9833272
cRn	2.141168711	1.456134798	0.150692395	1	1.9833272
cRN	2.325678522	1.554464567	0.259050408	1	1.9833272
Crn	2.473228596	1.766231854	0.119599765	1	1.9833272
CrN	2.519086842	1.844668654	0.136178519	1	1.9833272
CRn	2.923015624	2.432654252	0.798635982	1	1.9833272
CRN	3.085150289	2.209727076	1.266871379	1	1.9833272
crr	0.139204856	1.147512379	0.374628388	0	2.9667778
crR	0.138288381	1.128048585	0.220921738	0	2.9667778
cRr	0.063635229	0.709866087	0.074796577	0	2.9667778
cRR	0.179783184	1.218993556	0.250442691	0	2.9667778
Crr	0.061559303	0.891423801	0.071859881	0	2.9667778
CrR	0.102144418	0.929921807	0.125443611	0	2.9667778
CRr	0.059630002	0.618822595	0.18295544	0	2.9667778
CRR	0.099070425	1.512545399	1.215685744	0	2.9667778
crx	0.314561744	0.98449753	0.116790023	0	2.05828421
crX	0.326622495	0.996508464	0.075179571	0	2.05828421
cRx	0.321758669	0.77388675	0.06889288	0	2.05828421
cRX	0.337711689	0.967388157	0.04697358	0	2.05828421
Crx	0.278449799	0.749307121	0.12162112	0	2.05828421
CrX	0.282892244	0.847347154	0.050903517	0	2.05828421
CRx	0.181596123	0.632758434	0.072679674	0	2.05828421
CRX	0.338576188	1.398444813	0.217003152	0	2.05828421
cxc	0.310481139	1.615410292	0.261490334	0	2.07471021
cxC	0.370276273	0.944836783	0.26856504	0	2.07471021
cXc	0.203178853	1.036314988	0.146921865	0	2.07471021
cXC	0.394914629	0.9454832	0.310607327	0	2.07471021
Cxc	0.28464922	1.370257617	0.205216744	0	2.07471021
CxC	0.261608801	0.814577533	0.243571753	0	2.07471021
CXc	0.226136476	1.251582239	0.152998368	0	2.07471021
CXC	0.475358374	1.355013641	0.501122548	0	2.07471021
cxn	2.393128524	1.554045572	0.193907062	1	1.07483361
cxN	2.420963273	1.562364982	0.272402455	1	1.07483361
cXn	1.136819318	0.567974935	0.032802247	1	1.07483361
cXN	1.792651642	1.068302719	0.108501048	1	1.07483361
Cxn	2.512946795	1.659496557	0.218633081	1	1.07483361
CxN	2.491521708	1.634360874	0.239085607	1	1.07483361
CXn	1.596487182	0.915364838	0.081547066	1	1.07483361
CXN	2.218585751	1.404365179	0.159405328	1	1.07483361
cxr	0.138505335	0.803133059	0.023906164	0	2.05828421
cxR	0.263406729	0.648082164	0.037551483	0	2.05828421
cXr	0.129554334	0.676768953	0.086042329	0	2.05828421
cXR	0.193986815	0.50529409	0.026632201	0	2.05828421
Cxr	0.180927077	0.990662387	0.086761931	0	2.05828421
CxR	0.270387163	0.607162009	0.06266892	0	2.05828421
CXr	0.25385006	1.127636539	0.078836874	0	2.05828421
CXR	0.232871427	0.884763212	0.080533008	0	2.05828421
cxx	0.925303931	1.088529912	0.070639448	0	1.14979062
cxX	0.826912531	0.727890503	0.025817095	0	1.14979062
cXx	0.285678218	0.381353192	0.06991436	0	1.14979062
cXX	0.7701343	0.896443718	0.024571322	0	1.14979062
Cxx	0.676326602	1.019848242	0.075740343	0	1.14979062
CxX	0.493700599	0.571965379	0.046970274	0	1.14979062
CXx	0.473373076	0.554161371	0.032554731	0	1.14979062
CXX	0.835007508	1.091626146	0.020544373	0	1.14979062
ncc	2.843714543	2.709412523	4.047028329	1	1.9997532
ncC	2.741879189	2.2679776	2.685930498	1	1.9997532
nCc	2.867459501	2.229535819	2.664179168	1	1.9997532
nCC	2.138194105	1.738944713	2.28590352	1	1.9997532
Ncc	2.866064144	2.519493425	3.197513716	1	1.9997532
NcC	2.59667763	1.928812489	1.857495553	1	1.9997532
NCc	2.606593227	2.200703545	2.834152858	1	1.9997532
NCC	1.887958922	1.661831385	2.737120608	1	1.9997532
ncn	2.008259119	0.886692595	0.350831116	2	0.9998766
ncN	2.512772153	1.170617985	0.215108953	2	0.9998766
nCn	1.881991033	0.695324493	0.128545939	2	0.9998766
nCN	2.311824309	1.073492437	0.231422633	2	0.9998766
Ncn	2.176001996	0.983123562	0.184933504	2	0.9998766
NcN	1.988965462	0.785014709	0.183764748	2	0.9998766
NCn	2.088289263	0.885216393	0.202080011	2	0.9998766
NCN	2.425447778	1.195939453	0.478159381	2	0.9998766
ncr	2.662901716	2.454402383	1.430651407	1	1.9833272
ncR	2.447497494	2.141169477	1.045920592	1	1.9833272
nCr	2.232675268	1.806450722	0.426187508	1	1.9833272
nCR	2.283412543	1.959185249	1.495649962	1	1.9833272
Ncr	2.167764765	1.992164889	0.716512564	1	1.9833272
NcR	2.109835594	1.736421311	0.698039144	1	1.9833272
NCr	1.910237784	1.679158754	0.637078399	1	1.9833272
NCR	1.760097767	1.76246799	1.885185025	1	1.9833272
ncx	2.352979057	1.653246751	0.265074676	1	1.07483361
ncX	1.976351752	1.406964684	0.128288121	1	1.07483361
nCx	1.814295778	1.095818066	0.130962562	1	1.07483361
nCX	2.358699631	1.458763959	0.168275719	1	1.07483361
Ncx	2.380232981	1.538210108	0.165036913	1	1.07483361
NcX	1.64767013	0.867854242	0.055322296	1	1.07483361
NCx	1.765526916	1.060221764	0.196439793	1	1.07483361
NCX	2.257912816	1.453514617	0.228940767	1	1.07483361
nnc	1.831352075	0.945161183	0.19266978	2	0.9998766
nnC	1.441973303	0.5659897	0.112343115	2	0.9998766
nNc	1.598716207	0.668814537	0.068299778	2	0.9998766
nNC	1.56904008	0.618565847	0.579951702	2	0.9998766
Nnc	1.804226977	0.93472095	0.082629847	2	0.9998766
NnC	1.254845717	0.431816741	0.097466581	2	0.9998766
NNc	1.737608963	0.750857231	0.113054502	2	0.9998766
NNC	1.623253029	0.636091663	0.187258986	2	0.9998766
nnn	0.599419753	0.106183097	0.025374263	3	0
nnN	0.487025693	0.067002158	0.036340097	3	0
nNn	0.341117925	0.046666536	0.016742011	3	0
nNN	0.672722861	0.218119123	0.093744031	3	0
Nnn	0.442898869	0.073615816	0.057424933	3	0
NnN	0.386215924	0.051865861	0.018910426	3	0
NNn	0.360300162	0.043269189	0.015886391	3	0
NNN	0.72964589	0.144422561	0.030939528	3	0
nnr	0.784456189	0.253917323	0.030490586	2	0.9834506
nnR	0.810020578	0.251937747	0.030855124	2	0.9834506
nNr	0.577952307	0.167059619	0.016970484	2	0.9834506
nNR	0.842440725	0.303485845	0.027979717	2	0.9834506
Nnr	0.546270443	0.127656674	0.008688882	2	0.9834506
NnR	0.567030595	0.152502566	0.019731826	2	0.9834506
NNr	0.840664841	0.29136171	0.013239317	2	0.9834506
NNR	1.126181504	0.374038382	0.032183975	2	0.9834506
nnx	0.536476354	0.159776065	0.010599799	2	0.07495701
nnX	0.741349972	0.237318532	0.012257176	2	0.07495701
nNx	0.254056376	0.05744434	0.048744397	2	0.07495701
nNX	0.721843974	0.196607456	0.014620154	2	0.07495701
Nnx	0.329154023	0.06667016	0.011827051	2	0.07495701
NnX	0.475818906	0.085600434	0.011256218	2	0.07495701
NNx	0.320940053	0.11204636	0.012725601	2	0.07495701
NNX	0.953876519	0.263193313	0.104457216	2	0.07495701
nrc	2.415658409	2.112599223	0.650063413	1	1.9833272
nrC	1.654535656	1.299766087	0.258288383	1	1.9833272
nRc	1.644607783	1.358912697	0.069491592	1	1.9833272
nRC	1.827468375	1.519007904	0.950610904	1	1.9833272
Nrc	1.820853461	1.685407691	0.227760088	1	1.9833272
NrC	1.50927759	1.201615825	0.139844583	1	1.9833272
NRc	1.582710899	1.417310091	0.070786856	1	1.9833272
NRC	1.989557593	1.597069249	1.329417652	1	1.9833272
nrn	1.143458688	0.322180218	0.022201864	2	0.9834506
nrN	1.031063476	0.337246995	0.022438296	2	0.9834506
nRn	0.715829866	0.200309394	0.047263251	2	0.9834506
nRN	0.927524941	0.283935624	0.045880406	2	0.9834506
Nrn	0.993966738	0.255981884	0.013971448	2	0.9834506
NrN	0.739122493	0.17035457	0.017262411	2	0.9834506
NRn	0.945884616	0.311683238	0.030057572	2	0.9834506
NRN	1.079256383	0.311122974	0.033007344	2	0.9834506
nrr	0.932325219	0.783877364	0.028621772	1	1.9669012
nrR	0.83193588	0.586837674	0.018216645	1	1.9669012
nRr	1.393455879	1.144660461	0.030514094	1	1.9669012
nRR	1.158038453	1.008253348	0.196230427	1	1.9669012
Nrr	0.671831066	0.689217129	0.052279	1	1.9669012
NrR	0.589461748	0.479696219	0.024800268	1	1.9669012
NRr	1.277159966	1.058274977	0.392293143	1	1.9669012
NRR	1.28839412	1.087033805	0.220800882	1	1.9669012
nrx	0.60550469	0.279056304	0.016076687	1	1.05840761
nrX	0.812506166	0.467703888	0.087917697	1	1.05840761
nRx	0.983746194	0.582421601	0.02855478	1	1.05840761
nRX	1.084409198	0.720210927	0.033288917	1	1.05840761
Nrx	0.413520088	0.16980157	0.028834756	1	1.05840761
NrX	0.403867932	0.187823318	0.015502046	1	1.05840761
NRx	0.925295824	0.506388628	0.033434118	1	1.05840761
NRX	1.266174085	0.800584185	0.027386556	1	1.05840761
nxc	1.96486174	1.363193601	0.093045633	1	1.07483361
nxC	1.669558603	1.015181646	0.148611033	1	1.07483361
nXc	2.051430298	1.61330958	0.152088878	1	1.07483361
nXC	1.768449585	1.264368704	0.371123213	1	1.07483361
Nxc	1.446794776	0.995831679	0.083859721	1	1.07483361
NxC	1.014741866	0.50629861	0.084237233	1	1.07483361
NXc	1.975440574	1.41195909	0.208625273	1	1.07483361
NXC	1.914831757	1.237293874	0.26026604	1	1.07483361
nxn	0.882993238	0.249030158	0.033633237	2	0.07495701
nxN	0.877644721	0.316036179	0.035010177	2	0.07495701
nXn	0.504458216	0.115992183	0.010149745	2	0.07495701
nXN	0.763158719	0.311572611	0.021095664	2	0.07495701
Nxn	0.648741982	0.178968739	0.013523857	2	0.07495701
