,synthetic_promoter,Rho_basal_wt,Rho_basal_crxnull,hsp68_basal_wt,NRL_motif,CRX_affinity_score,rho_basal_norm,CRX_motif,log2_expr
0,cn,2.24417764,1.406209453,0.094854613,1,0.9998766,20.58670813,1,4.363641252482294
1,cN,1.957457418,1.150789136,0.116060746,1,0.9998766,17.95651281,1,4.166435297962059
2,Cn,2.186210831,1.461819823,0.068311893,1,0.9998766,20.05495621,1,4.325886910918378
3,CN,2.626150036,1.740058043,0.111688265,1,0.9998766,24.09068843,1,4.590403716373908
4,nc,2.324386636,1.640985689,0.159414028,1,0.9998766,21.32249623,1,4.414304439543139
5,nC,1.657796878,0.986896607,0.092005953,1,0.9998766,15.20761096,1,3.926721625538689
6,Nc,2.438452604,1.50712699,0.044482134,1,0.9998766,22.3688674,1,4.4834203053402915
7,NC,1.689558851,1.19244836,0.096124354,1,0.9998766,15.4989758,1,3.9541009776719527
8,ccn,3.222702753,2.538507638,2.619735893,1,1.9997532,29.56309687,2,4.885725501210729
9,ccN,2.762938855,2.127488064,3.083146713,1,1.9997532,25.34550509,2,4.663658009399775
10,cCn,2.996307755,2.370210568,1.687361392,1,1.9997532,27.48628813,2,4.7806401869687445
11,cCN,3.425945535,2.843997597,3.107816543,1,1.9997532,31.4275214,2,4.973956590220533
12,Ccn,3.46973679,2.662531724,2.583550651,1,1.9997532,31.82923549,2,4.9922806000223146
13,CcN,3.687902101,2.701901659,3.636801697,1,1.9997532,33.83055014,2,5.080254732787708
14,CCn,3.615006706,2.84513928,3.31984471,1,1.9997532,33.16185253,2,5.051452697655633
15,CCN,3.325794888,2.861626449,5.394363659,1,1.9997532,30.50880084,2,4.931153570242005
16,cnc,2.500537968,1.984114725,1.3134925,1,1.9997532,22.93840042,2,4.519692885256179
17,cnC,2.488240379,1.759828788,1.255975316,1,1.9997532,22.82558989,2,4.512580239669951
18,cNc,2.477736224,1.972490041,0.889139099,1,1.9997532,22.72923122,2,4.5064769830092315
19,cNC,2.617593804,1.815259646,1.120250984,1,1.9997532,24.01219881,2,4.585695612867929
20,Cnc,3.168623662,2.67660408,1.562137748,1,1.9997532,29.06700849,2,4.86131069512924
21,CnC,3.025820026,2.057950874,1.759401654,1,1.9997532,27.75701559,2,4.7947805538350385
22,CNc,2.881592241,2.50012711,2.058093906,1,1.9997532,26.43395842,2,4.724320576064115
23,CNC,3.161023085,2.381124803,2.553626849,1,1.9997532,28.99728546,2,4.857845945586267
24,ncc,2.843714543,2.709412523,4.047028329,1,1.9997532,26.08649167,2,4.70523102637003
25,ncC,2.741879189,2.2679776,2.685930498,1,1.9997532,25.15231664,2,4.6526193796545
26,nCc,2.867459501,2.229535819,2.664179168,1,1.9997532,26.30431334,2,4.71722748467089
27,nCC,2.138194105,1.738944713,2.28590352,1,1.9997532,19.61448024,2,4.293847201135432
28,Ncc,2.866064144,2.519493425,3.197513716,1,1.9997532,26.29151319,2,4.716525272555954
29,NcC,2.59667763,1.928812489,1.857495553,1,1.9997532,23.82032666,2,4.574121292620483
30,NCc,2.606593227,2.200703545,2.834152858,1,1.9997532,23.91128626,2,4.57961983392942
31,NCC,1.887958922,1.661831385,2.737120608,1,1.9997532,17.31897627,2,4.1142817493258885
