,synthetic_promoter,Rho_basal_wt,Rho_basal_crxnull,hsp68_basal_wt,NRL_motif,CRX_affinity_score,rho_basal_norm,log2_expr
3,n,0.556231104,0.259192182,0.011144068,1,0.0,5.102522717890855,2.3512107005633376
4,N,0.56610396,0.191592306,0.031880715,1,0.0,5.193090238599774,2.3765932948748274
29,nn,0.815797487,0.255057294,0.085157024,2,0.0,7.483625386428892,2.9037373422948916
30,nN,0.615465392,0.256635657,0.039835218,2,0.0,5.6459017163405525,2.497204014621427
31,Nn,0.416950903,0.109399179,0.013200843,2,0.0,3.824851647998826,1.9354037920282954
32,NN,0.968128372,0.327565122,0.032676799,2,0.0,8.881015420462155,3.1507246380972407
241,nnn,0.599419753,0.106183097,0.025374263,3,0.0,5.498708873416445,2.4590929058030455
242,nnN,0.487025693,0.067002158,0.036340097,3,0.0,4.4676747575932705,2.1595241628385855
243,nNn,0.341117925,0.046666536,0.016742011,3,0.0,3.1292064562291877,1.6457968466747217
244,nNN,0.672722861,0.218119123,0.093744031,3,0.0,6.17114659071103,2.625538565071766
245,Nnn,0.442898869,0.073615816,0.057424933,3,0.0,4.062882360495729,2.0225035923842936
246,NnN,0.386215924,0.051865861,0.018910426,3,0.0,3.5429078166423573,1.8249339282834682
247,NNn,0.360300162,0.043269189,0.015886391,3,0.0,3.3051725238737375,1.7247255797029886
248,NNN,0.72964589,0.144422561,0.030939528,3,0.0,6.693323517810129,2.742722747794976
832,nnnn,0.284926362,0.023325611,0.040353851,4,0.0,2.6137395492198037,1.3861153883523372
833,nnNn,0.183354574,0.01610643,0.015952362,4,0.0,1.6819823137114602,0.7501625355247341
834,nnNN,0.398624463,0.034525583,0.032849048,4,0.0,3.6567361367201476,1.8705565282435803
835,NnNN,0.271075517,0.022197256,0.028020791,4,0.0,2.486680399225766,1.3142210969873218
836,NNnN,0.243231936,0.031384421,0.031138892,4,0.0,2.231260478300355,1.1578589442482756
837,NNNN,0.420944738,0.046652201,0.056953772,4,0.0,3.8614886387612257,1.949157126699498
0,basal_only,0.109010529,0.02826388,0.021857402,0,0.0,1.0,0.0
